TransactionID,CustomerID,LocationNormalized,CustAccountBalance,TransactionAmount (INR),spend_balance_ratio
T244597,C2517171,MUMBAI,0.03,3308.0,110266.66666666667
T898662,C5125654,NASHIK,0.01,1099.0,109900.0
T880192,C2778056,PUNE,0.01,1092.0,109200.0
T250250,C2537681,DERA BASSI,0.04,4354.0,108850.0
T403714,C8828281,GURGAON,0.02,2167.0,108350.0
T758885,C2139791,KOLKATA,0.52,56159.44,107998.92307692308
T697933,C5425681,NASHIK,0.01,1078.0,107800.0
T610421,C8325050,DEHRADUN,0.01,1064.4,106440.0
T989310,C8626784,PANCHKULA,0.01,1059.8,105980.0
T949021,C8926748,MUMBAI,0.01,1050.0,105000.0
T23784,C2415331,DHANBAD,0.01,1049.0,104900.0
T570419,C1415360,DHANBAD,0.01,1049.0,104900.0
T245643,C8332054,GURGAON,0.01,1009.79,100979.0
T821982,C3332039,GURGAON,0.01,1009.77,100977.0
T584119,C2678043,PUNE,0.01,1002.0,100200.0
T124066,C1332922,NEW DELHI,0.01,1000.0,100000.0
T184484,C6425014,DEHRADUN,0.01,1000.0,100000.0
T236784,C7525035,DEHRADUN,0.01,1000.0,100000.0
T262180,C6020733,MUMBAI,0.01,1000.0,100000.0
T27928,C3131932,FARIDABAD,0.01,1000.0,100000.0
T344684,C3038527,LUCKNOW,0.01,1000.0,100000.0
T505433,C2227935,FARIDABAD,0.01,1000.0,100000.0
T800903,C8425049,DEHRADUN,0.01,1000.0,100000.0
T900437,C7426730,PANCHKULA,0.01,1000.0,100000.0
T994953,C7926755,PANCHKULA,0.01,1000.0,100000.0
T357341,C7137668,DERA BASSI,0.04,3980.0,99500.0
T567414,C6213728,NEW DELHI,0.01,990.0,99000.0
T583187,C1278030,PUNE,0.01,974.0,97400.0
T739786,C8926779,MUMBAI,0.01,969.0,96900.0
T648996,C6510553,MUMBAI,0.02,1920.0,96000.0
T949523,C7037634,BANGALORE,0.01,926.75,92675.0
T868063,C5078018,PUNE,0.01,911.0,91100.0
T221168,C4420721,CHENNAI,0.05,4550.0,91000.0
T824431,C7325024,DEHRADUN,0.01,910.0,91000.0
T254657,C4725087,DEHRADUN,0.01,900.0,90000.0
T651948,C8661135,GURGAON,0.04,3590.0,89750.0
T322213,C4710975,WEST GODAVARI,0.01,892.0,89200.0
T268218,C1010512,MUMBAI,0.02,1783.0,89150.0
T584851,C4311938,JHANSI,0.01,880.0,88000.0
T526306,C7737664,DERA BASSI,0.04,3518.0,87950.0
T59636,C6910585,MUMBAI,0.02,1732.0,86600.0
T691377,C8110521,MUMBAI,0.02,1725.0,86250.0
T503521,C3021612,LUDHIANA,0.01,850.0,85000.0
T972819,C3421643,LUDHIANA,0.01,850.0,85000.0
T803376,C4818340,DELHI,0.01,845.0,84500.0
T141776,C4117178,MUMBAI,0.03,2495.0,83166.66666666667
T768092,C1710520,MUMBAI,0.02,1655.0,82750.0
T604459,C5618332,DELHI,0.01,805.0,80500.0
T116909,C8414985,NAVI MUMBAI,0.01,804.0,80400.0
T355650,C7041788,MUMBAI,0.01,800.0,80000.0
T167024,C5499713,KAITHAL,0.01,795.0,79500.0
T288065,C8340351,BANGALORE,0.04,3058.06,76451.5
T689403,C2278050,PUNE,0.01,757.0,75700.0
T422274,C6437518,MUMBAI,0.14,10500.0,75000.0
T24168,C3525843,BANGALORE,0.01,749.5,74950.0
T602385,C5727049,BARODA-VADODARA,0.01,747.0,74700.0
T674524,C7537671,DERA BASSI,0.04,2960.0,74000.0
T215854,C2720783,CHENNAI,0.05,3650.0,73000.0
T607476,C4737667,DERA BASSI,0.04,2910.0,72750.0
T307039,C5640383,BANGALORE,0.04,2899.0,72475.0
T461711,C4817261,DELHI,0.18,12900.0,71666.66666666667
T788592,C1590936,CHENNAI,1.42,100000.0,70422.5352112676
T924585,C1737657,BANGALORE,0.01,699.0,69900.0
T875910,C5710524,MUMBAI,0.02,1376.0,68800.0
T256144,C7532619,WARANGAL,0.01,684.9,68490.0
T420045,C3541745,MUMBAI,0.01,662.0,66200.0
T20612,C8839686,BANGALORE,0.01,660.0,66000.0
T180950,C4616787,DELHI,0.07,4597.97,65685.28571428571
T205575,C2627915,FARIDABAD,0.01,650.0,65000.0
T485165,C6739883,MUMBAI,0.01,648.0,64800.0
T276060,C7917152,MUMBAI,0.03,1918.0,63933.333333333336
T276894,C4917159,MUMBAI,0.03,1918.0,63933.333333333336
T277206,C5217159,MUMBAI,0.03,1918.0,63933.333333333336
T137882,C2818318,ROORKEE,0.01,623.0,62300.0
T212481,C2616751,DELHI,0.07,4347.0,62099.99999999999
T1036066,C3042623,CHANDIGARH,0.05,3100.0,62000.0
T179553,C4737668,BANGALORE,0.01,608.0,60800.0
T261821,C2510555,MUMBAI,0.02,1215.0,60750.0
T44278,C5917161,MUMBAI,0.03,1816.0,60533.333333333336
T579628,C4636790,NEW DELHI,0.19,11500.0,60526.31578947369
T283723,C2214562,KOLKATA,0.1,6000.0,60000.0
T417925,C2025680,NASHIK,0.01,600.0,60000.0
T522187,C2422369,NEW DELHI,0.94,56000.0,59574.46808510639
T553813,C6741927,DELHI,0.01,583.0,58300.0
T104446,C1420754,MUMBAI,0.01,580.0,58000.0
T255421,C3710573,MUMBAI,0.02,1150.0,57500.0
T44756,C2537657,BANGALORE,0.01,574.04,57403.99999999999
T160206,C4720750,MUMBAI,0.01,570.0,57000.0
T55440,C5126758,MUMBAI,0.01,565.0,56500.0
T240404,C4020784,MUMBAI,0.01,534.0,53400.0
T979999,C1539759,KOLKATA,0.52,27207.0,52321.153846153844
T982210,C3839737,KOLKATA,0.52,27207.0,52321.153846153844
T648538,C2020678,NOIDA,0.48,25000.0,52083.333333333336
T309151,C2641751,MUMBAI,0.01,516.5,51650.0
T106020,C6011336,FARIDABAD,0.03,1533.0,51100.0
T177958,C5420737,CHENNAI,0.05,2512.0,50240.0
T1038322,C8811980,JHANSI,0.01,500.0,50000.0
T175957,C1920746,CHENNAI,0.05,2500.0,50000.0
T381703,C3539340,BANGALORE,0.02,1000.0,50000.0
T525617,C1540332,BANGALORE,0.04,2000.0,50000.0
T713847,C2111944,JHANSI,0.01,500.0,50000.0
T834560,C6026748,PANCHKULA,0.01,500.0,50000.0
T838484,C6326751,PANCHKULA,0.01,500.0,50000.0
T913191,C7610550,MUMBAI,0.02,1000.0,50000.0
T930512,C4025887,BANGALORE,0.01,500.0,50000.0
T976053,C7839492,FARIDABAD,0.01,500.0,50000.0
T217597,C5218376,DELHI,0.01,499.0,49900.0
T518873,C1021233,NOIDA,0.32,15828.0,49462.5
T638487,C6237340,DEHRADUN,0.79,38000.0,48101.26582278481
T100841,C3517180,MUMBAI,0.03,1439.0,47966.66666666667
T110552,C1426777,MUMBAI,0.01,465.0,46500.0
T106122,C3015916,AMRITSAR,0.73,33203.66,45484.465753424665
T917721,C1110547,MUMBAI,0.02,900.0,45000.0
T406107,C2928238,GURGAON,0.02,882.0,44100.0
T759743,C4242916,NEW DELHI,0.19,8350.0,43947.36842105263
T242384,C8486264,BAREILLY,0.23,10000.0,43478.260869565216
T195178,C5617143,MUMBAI,0.03,1300.0,43333.333333333336
T1002971,C8927750,GURGAON,0.07,3030.18,43288.28571428571
T536052,C3822336,NEW DELHI,0.94,40000.0,42553.19148936171
T291120,C1635611,NEW DELHI,0.07,2898.0,41399.99999999999
T673416,C4524151,MUMBAI,0.01,413.5,41350.0
T677093,C5510544,MUMBAI,0.02,825.0,41250.0
T734122,C1339782,KOLKATA,0.52,21025.07,40432.82692307692
T398665,C2525077,DEHRADUN,0.01,404.0,40400.0
T123473,C1114939,NAVI MUMBAI,0.01,400.0,40000.0
T221004,C8820723,CHENNAI,0.05,2000.0,40000.0
T654275,C7725022,DEHRADUN,0.01,400.0,40000.0
T721781,C6271584,THANE,0.01,400.0,40000.0
T136940,C8920734,MUMBAI,0.01,395.0,39500.0
T538160,C6418823,THANE,0.01,378.8,37880.0
T543087,C5537626,DERA BASSI,0.04,1509.0,37725.0
T488707,C7427167,DELHI,0.04,1500.0,37500.0
T751812,C5264969,DEHRADUN,0.08,2981.0,37262.5
T353547,C4626726,MUMBAI,0.01,371.0,37100.0
T356843,C1230632,NAVI MUMBAI,0.01,370.0,37000.0
T179619,C3920786,CHENNAI,0.05,1826.0,36520.0
T306820,C8147351,GURGAON,0.01,363.0,36300.0
T181639,C6120782,CHENNAI,0.05,1814.0,36280.0
T210086,C5019430,KOLAR,0.01,360.0,36000.0
T221120,C5237616,DERA BASSI,0.04,1440.0,36000.0
T440274,C2244061,PURULIA,0.07,2490.0,35571.428571428565
T358138,C1710236,GURGAON,0.02,710.0,35500.0
T825724,C6331822,KOPERKHAIRNE NAVI MUMBAI,0.03,1060.77,35359.0
T287597,C3986257,BAREILLY,0.23,8108.0,35252.17391304348
T352647,C1626745,MUMBAI,0.01,350.0,35000.0
T376780,C6025818,BANGALORE,0.01,350.0,35000.0
T468564,C1426783,MUMBAI,0.01,350.0,35000.0
T525473,C3626720,MUMBAI,0.01,350.0,35000.0
T526316,C7826762,MUMBAI,0.01,350.0,35000.0
T704273,C7126753,MUMBAI,0.01,350.0,35000.0
T972573,C4526782,MUMBAI,0.01,350.0,35000.0
T100934,C5126726,MUMBAI,0.01,348.0,34800.0
T459570,C6140383,BANGALORE,0.04,1378.0,34450.0
T388437,C5022583,BHUBANESWAR,0.05,1720.0,34400.0
T355006,C1741730,MUMBAI,0.01,338.0,33800.0
T363220,C2017137,MUMBAI,0.03,1000.0,33333.333333333336
T266364,C4316861,JUNAGADH,0.29,9605.0,33120.68965517241
T109624,C1413979,THANE,0.02,662.0,33100.0
T560768,C1721762,GREATER NOIDA,0.01,325.0,32500.0
T184970,C2520778,CHENNAI,0.05,1620.0,32400.0
T611828,C6715347,DHANBAD,0.01,323.0,32300.0
T421556,C2518833,THANE,0.01,320.77,32076.999999999996
T687738,C6214578,KOLKATA,0.1,3206.0,32060.0
T181039,C4920714,CHENNAI,0.05,1600.0,32000.0
T579161,C6478024,PUNE,0.01,320.0,32000.0
T660425,C1326745,MUMBAI,0.01,320.0,32000.0
T539915,C4422336,NEW DELHI,0.94,30000.0,31914.89361702128
T629970,C2839736,NEW DELHI,0.83,25989.02,31312.07228915663
T253015,C4226712,MUMBAI,0.01,313.0,31300.0
T423669,C5830987,DECATHLON SPORTS AHMEDABAD,0.32,10000.0,31250.0
T640188,C2834814,BARABANKI,0.02,624.0,31200.0
T422984,C6312147,BHUBANESHWAR,0.01,308.0,30800.0
T164723,C4499770,KAITHAL,0.01,306.62,30662.0
T40011,C8799762,KAITHAL,0.01,306.62,30662.0
T523939,C8499792,KAITHAL,0.01,306.62,30662.0
T524428,C1599728,KAITHAL,0.01,306.62,30662.0
T639405,C7899717,KAITHAL,0.01,306.62,30662.0
T6623,C5299769,KAITHAL,0.01,306.62,30662.0
T666563,C5399721,KAITHAL,0.01,306.62,30662.0
T668539,C4399718,KAITHAL,0.01,306.62,30662.0
T1015129,C8734886,ERNAKULAM,0.02,610.0,30500.0
T41503,C7837662,BANGALORE,0.01,305.0,30500.0
T612376,C5021612,LUDHIANA,0.01,300.0,30000.0
T632132,C1016449,MUMBAI,0.01,300.0,30000.0
T694980,C5825669,NASHIK,0.01,300.0,30000.0
T76555,C1726770,MUMBAI,0.01,300.0,30000.0
T912297,C8321640,LUDHIANA,0.01,300.0,30000.0
T986664,C6921780,GREATER NOIDA,0.01,300.0,30000.0
T191898,C3334968,MUMBAI,0.5,14999.0,29998.0
T800399,C1718342,DELHI,0.01,299.0,29900.0
T629993,C2726718,MUMBAI,0.01,298.0,29800.0
T438801,C6120474,BANGALORE,0.48,14000.0,29166.666666666668
T541386,C8639784,KOLKATA,0.52,15000.0,28846.153846153844
T193663,C9035544,NOIDA,0.85,24467.0,28784.70588235294
T303844,C2218846,NEW DELHI,0.16,4600.0,28750.0
T348716,C7317158,MUMBAI,0.03,850.0,28333.333333333336
T444665,C6534882,ERNAKULAM,0.02,561.38,28069.0
T391240,C5926776,MUMBAI,0.01,280.0,28000.0
T391737,C3826787,MUMBAI,0.01,280.0,28000.0
T62254,C1715626,HYDERABAD,0.01,279.52,27951.999999999996
T766120,C3515685,HYDERABAD,0.01,279.5,27950.0
T527956,C8737670,DERA BASSI,0.04,1100.0,27500.0
T699521,C1637633,DERA BASSI,0.04,1100.0,27500.0
T438512,C6111339,FARIDABAD,0.03,820.6,27353.333333333336
T127115,C4120756,CHENNAI,0.05,1360.0,27200.0
T732196,C2739788,KOLKATA,0.52,14016.71,26955.211538461535
T440463,C8642445,MUMBAI,0.65,17500.0,26923.076923076922
T712956,C1942659,CHANDIGARH,0.05,1345.14,26902.8
T666809,C1084585,THRISSUR,0.02,534.0,26700.0
T198232,C2917183,MUMBAI,0.03,795.0,26500.0
T63785,C2417173,MUMBAI,0.03,793.0,26433.333333333336
T136647,C3439152,ALIGARH,0.05,1300.0,26000.0
T180690,C6120760,CHENNAI,0.05,1300.0,26000.0
T221459,C7720750,CHENNAI,0.05,1290.0,25800.0
T634234,C5729175,CHENNAI,0.09,2280.0,25333.333333333336
T1007552,C2010241,GURGAON,0.02,500.0,25000.0
T218598,C2271522,THANE,0.01,250.0,25000.0
T404801,C6428292,GURGAON,0.02,500.0,25000.0
T534305,C8010238,GURGAON,0.02,500.0,25000.0
T898909,C1521625,LUDHIANA,0.01,250.0,25000.0
T130885,C1713635,MUMBAI,0.06,1499.0,24983.333333333336
T757748,C7337474,GHAZIABAD,0.77,19150.0,24870.12987012987
T409899,C5628222,GURGAON,0.02,495.0,24750.0
T313795,C7525641,NASHIK,0.01,247.0,24700.0
T432383,C5516353,BHARUCH,0.35,8474.0,24211.428571428572
T464630,C3610215,GURGAON,0.02,483.0,24150.0
T339963,C8535621,NEW DELHI,0.07,1650.0,23571.42857142857
T9915,C5088841,KOLKATA,0.06,1400.04,23334.0
T219371,C1611318,FARIDABAD,0.03,699.0,23300.0
T839864,C3734190,KOLKATA,0.02,460.0,23000.0
T911211,C4727759,GURGAON,0.07,1593.0,22757.142857142855
T201098,C8941214,HYDERABAD,1.32,30000.0,22727.272727272728
T269782,C7629764,ROHTAK,0.01,225.0,22500.0
T722308,C8664989,DEHRADUN,0.08,1800.0,22500.0
T920005,C2414835,LUDHIANA,0.01,225.0,22500.0
T932486,C7535580,DELHI,0.44,9864.0,22418.18181818182
T638148,C8021654,LUDHIANA,0.01,224.0,22400.0
T909308,C6037657,BANGALORE,0.01,222.0,22200.0
T1032883,C3637648,BANGALORE,0.01,220.0,22000.0
T183029,C8520766,CHENNAI,0.05,1100.0,22000.0
T311423,C4432679,WARANGAL,0.01,220.0,22000.0
T853237,C5446827,NEWDELHI,0.03,646.0,21533.333333333336
T545725,C4022337,NEW DELHI,0.94,20000.0,21276.595744680853
T546955,C9022353,NEW DELHI,0.94,20000.0,21276.595744680853
T317336,C2317117,MUMBAI,0.03,638.0,21266.666666666668
T415403,C6327162,DELHI,0.04,832.66,20816.5
T371337,C3427188,DELHI,0.04,832.54,20813.5
T233974,C8237611,DERA BASSI,0.04,830.0,20750.0
T682287,C8030658,NAVI MUMBAI,0.01,205.0,20500.0
T313677,C3649946,PARK MAHAPE NAVI MUMBAI,0.13,2655.0,20423.076923076922
T98246,C2417172,MUMBAI,0.03,610.0,20333.333333333336
T1009770,C7911992,JHANSI,0.01,200.0,20000.0
T1033145,C3611940,JHANSI,0.01,200.0,20000.0
T143271,C6253536,HAMIRPUR,0.02,400.0,20000.0
T199189,C5625065,DEHRADUN,0.01,200.0,20000.0
T274048,C7229774,ROHTAK,0.01,200.0,20000.0
T518751,C7911989,JHANSI,0.01,200.0,20000.0
T585283,C8611977,JHANSI,0.01,200.0,20000.0
T585980,C8411979,JHANSI,0.01,200.0,20000.0
T591064,C2415358,DHANBAD,0.01,200.0,20000.0
T650478,C5025838,BANGALORE,0.01,200.0,20000.0
T795704,C5325631,NASHIK,0.01,200.0,20000.0
T81335,C2511937,JHANSI,0.01,200.0,20000.0
T82566,C4111961,JHANSI,0.01,200.0,20000.0
T839766,C9029786,ROHTAK,0.01,200.0,20000.0
T723388,C8115337,DHANBAD,0.01,198.0,19800.0
T924544,C1527936,FARIDABAD,0.01,198.0,19800.0
T932083,C8434734,NEW DELHI,0.01,198.0,19800.0
T830376,C1129166,CHENNAI,0.09,1750.0,19444.444444444445
T115409,C8546885,NEWDELHI,0.03,583.22,19440.666666666668
T185262,C8220747,CHENNAI,0.05,970.0,19400.0
T302820,C3886261,BAREILLY,0.23,4460.47,19393.347826086956
T342451,C6928646,SURAT,0.13,2500.0,19230.76923076923
T278840,C2839317,BANGALORE,0.02,383.0,19150.0
T781234,C7221718,BANGALORE,3.97,75091.0,18914.609571788413
T782369,C2721765,BANGALORE,3.97,75091.0,18914.609571788413
T279974,C8721234,NOIDA,0.32,5884.0,18387.5
T491653,C3842264,DELHI,0.07,1283.0,18328.571428571428
T364081,C1626367,MEERUT,1.51,27270.0,18059.60264900662
T648859,C7118386,DELHI,0.01,180.0,18000.0
T978224,C8339716,KOLKATA,0.52,9207.0,17705.76923076923
T228084,C1839970,RAMSIN,1.54,26999.0,17531.81818181818
T216234,C4420744,CHENNAI,0.05,870.0,17400.0
T388340,C3410517,MUMBAI,0.02,348.0,17400.0
T141388,C7886259,BAREILLY,0.23,4000.0,17391.304347826088
T402384,C8533246,SOUTHALL,4.71,81800.0,17367.303609341827
T357952,C5217152,MUMBAI,0.03,518.0,17266.666666666668
T604381,C8240340,BANGALORE,0.04,688.0,17200.0
T178867,C4720760,CHENNAI,0.05,855.0,17100.0
T493053,C3637652,DERA BASSI,0.04,682.5,17062.5
T223851,C1020771,CHENNAI,0.05,850.0,17000.0
T189968,C8639928,RAMSIN,1.54,26060.0,16922.077922077922
T190409,C5939946,RAMSIN,1.54,26060.0,16922.077922077922
T658386,C5123725,VISAKHAPATNAM,0.74,12500.0,16891.891891891893
T284643,C5113971,THANE,0.02,337.0,16850.0
T865525,C2621749,BANGALORE,3.97,66799.0,16825.94458438287
T865902,C4921769,BANGALORE,3.97,66799.0,16825.94458438287
T115408,C5691023,INDORE,0.12,2000.0,16666.666666666668
T152739,C4911344,FARIDABAD,0.03,500.0,16666.666666666668
T191654,C8911321,FARIDABAD,0.03,500.0,16666.666666666668
T405609,C3711332,FARIDABAD,0.03,500.0,16666.666666666668
T497397,C4111332,FARIDABAD,0.03,500.0,16666.666666666668
T68844,C6611368,FARIDABAD,0.03,500.0,16666.666666666668
T187206,C1339140,ALIGARH,0.05,816.0,16320.0
T948043,C7050643,CHENNAI,0.34,5500.0,16176.470588235294
T115104,C3991068,INDORE,0.12,1936.0,16133.333333333334
T446894,C3116371,HOSHIARPUR,0.01,161.28,16128.0
T181720,C3220744,CHENNAI,0.05,800.0,16000.0
T184677,C7020713,CHENNAI,0.05,800.0,16000.0
T198671,C1111324,FARIDABAD,0.03,480.0,16000.0
T568954,C2778017,PUNE,0.01,160.0,16000.0
T577403,C3321782,BANGALORE,3.97,63387.0,15966.498740554156
T971532,C6121775,BANGALORE,3.97,62899.0,15843.576826196473
T131654,C4818819,THANE,0.01,158.29,15828.999999999998
T356758,C7937636,DERA BASSI,0.04,630.0,15750.0
T80294,C4617152,MUMBAI,0.03,470.0,15666.666666666668
T143364,C6227964,FARIDABAD,0.01,155.45,15544.999999999998
T242406,C7342729,GURGAON,0.31,4805.0,15500.0
T153984,C3040328,BANGALORE,0.04,618.29,15457.249999999998
T121179,C1238735,HYDERABAD,2.01,31000.0,15422.885572139305
T266368,C1213633,NEW DELHI,0.39,6000.0,15384.615384615385
T110686,C7041779,NASHIK,0.01,153.0,15300.0
T255371,C1461190,GURGAON,0.04,605.72,15143.0
T776789,C6816866,WARANGAL,0.1,1512.94,15129.4
T936388,C9026772,PANCHKULA,0.01,150.0,15000.0
T847775,C5125645,NASHIK,0.01,147.0,14700.0
T780253,C4039066,NEW DELHI,0.19,2790.0,14684.21052631579
T942158,C3328642,SURAT,0.13,1907.0,14669.23076923077
T144720,C1117174,MUMBAI,0.03,430.0,14333.333333333334
T716370,C5132677,GURGAON,0.02,286.0,14300.0
T310767,C3929686,TALUK KANCHEEPURAM DIST,0.07,1000.0,14285.714285714284
T998468,C8029651,TALUK KANCHEEPURAM DIST,0.07,1000.0,14285.714285714284
T137947,C2340553,NASIRABAD,0.75,10500.0,14000.0
T177410,C1820717,CHENNAI,0.05,700.0,14000.0
T178251,C4520734,CHENNAI,0.05,700.0,14000.0
T660843,C2622426,NAVI MUMBAI,0.31,4323.0,13945.161290322581
T801130,C1174524,BANGALORE,0.35,4871.0,13917.142857142859
T772244,C6621713,BANGALORE,3.97,54788.0,13800.50377833753
T1012929,C3121752,BANGALORE,3.97,54779.0,13798.23677581864
T137187,C1627578,NR CHURCH NAJAFGARG NEW DELHI,0.55,7570.0,13763.636363636362
T312556,C2716460,TRISSUR,0.39,5306.62,13606.717948717947
T889701,C5561153,MUMBAI,0.75,10151.0,13534.666666666666
T892173,C1761167,MUMBAI,0.75,10151.0,13534.666666666666
T182111,C4220737,CHENNAI,0.05,674.0,13480.0
T230247,C5227947,FARIDABAD,0.01,134.0,13400.0
T41397,C5112464,SONIPAT,1.53,20433.66,13355.333333333332
T639901,C7536753,NEW DELHI,0.19,2500.0,13157.894736842105
T825874,C4742946,BANDRA EAST MUMBAI,0.19,2500.0,13157.894736842105
T489254,C7942586,KATGHORA,4.9,64351.0,13132.857142857141
T491181,C8242566,KATGHORA,4.9,64351.0,13132.857142857141
T145536,C6820450,BANGALORE,0.48,6299.0,13122.916666666668
T198777,C1686248,BAREILLY,0.23,3000.0,13043.478260869564
T199734,C2786262,BAREILLY,0.23,3000.0,13043.478260869564
T406644,C6050536,GURGAON,0.09,1170.0,13000.0
T656856,C3924118,MUMBAI,0.01,128.72,12872.0
T691866,C3437624,DERA BASSI,0.04,510.0,12750.0
T660069,C4335180,JALANDHAR,0.12,1521.0,12675.0
T668323,C6635130,JALANDHAR,0.12,1521.0,12675.0
T335379,C3578026,NASHIK,0.15,1888.04,12586.933333333334
T68276,C8741243,HYDERABAD,1.32,16614.0,12586.363636363636
T432513,C7717171,MUMBAI,0.03,375.0,12500.0
T798864,C3718350,DELHI,0.01,125.0,12500.0
T1036971,C4450556,GURGAON,0.09,1124.0,12488.888888888889
T401934,C5828292,GURGAON,0.02,249.0,12450.0
T496713,C2311030,THANE,0.12,1480.0,12333.333333333334
T726574,C4828676,SURAT,0.13,1600.0,12307.692307692307
T68712,C8041988,MUMBAI,0.69,8490.0,12304.347826086958
T939218,C8912970,TIRUPATHI,0.15,1833.09,12220.6
T1011854,C5941419,AHMEDABAD,2.0,24398.0,12199.0
T891946,C1335679,NEW DELHI,0.07,850.0,12142.857142857141
